#pos.x,pos.y,pos.z
8.549069735235798051e-01,-2.249844147049229193e+00,6.599999999999999645e+00
7.387874335822756100e-01,-2.219645919250455623e+00,6.599999999999999645e+00
6.246876528432315778e-01,-2.182539039111202950e+00,6.599999999999999645e+00
5.130182673041315811e-01,-2.138657051329350800e+00,6.599999999999999645e+00
4.041811661644512665e-01,-2.088157883674053750e+00,6.599999999999999645e+00
2.985680454583287680e-01,-2.031223278616314243e+00,6.599999999999999645e+00
1.965589983718222800e-01,-1.968058139252344629e+00,6.599999999999999645e+00
9.852114731789191060e-02,-1.898889791873690669e+00,6.599999999999999645e+00
4.807322692157611765e-03,-1.823967167838063785e+00,6.599999999999999645e+00
-8.424520693551409978e-02,-1.743559907685267696e+00,6.599999999999999645e+00
-1.683159486236551206e-01,-1.657957390722431423e+00,6.599999999999999645e+00
-2.471023384876943341e-01,-1.567467693570996579e+00,6.599999999999999645e+00
-3.203208306032121477e-01,-1.472416481423561851e+00,6.599999999999999645e+00
-3.877079174650757132e-01,-1.373145836000866815e+00,6.599999999999999645e+00
-4.490210783299033448e-01,-1.270013024427000703e+00,6.599999999999999645e+00
-5.040396520288495941e-01,-1.163389213453558169e+00,6.599999999999999645e+00
-5.525656311095280548e-01,-1.053658133660145158e+00,6.599999999999999645e+00
-5.944243744490170789e-01,-9.412146984386722259e-01,6.599999999999999645e+00
-6.294652357733127035e-01,-8.264635827315982564e-01,6.599999999999999645e+00
-6.575621058212367531e-01,-7.098177666391345397e-01,6.599999999999999645e+00
-6.786138662015952505e-01,-5.916970491368489515e-01,6.599999999999999645e+00
-6.925447533101919406e-01,-4.725265372526822327e-01,6.599999999999999645e+00
-6.993046309969885854e-01,-3.527351161407080715e-01,6.599999999999999645e+00
-6.988691710021046610e-01,-2.327539055577187432e-01,6.599999999999999645e+00
-6.912399405112814588e-01,-1.130147082976541428e-01,6.599999999999999645e+00
-6.764443965157055372e-01,6.051543832165343084e-03,6.599999999999999645e+00
-6.545357869964909536e-01,1.240163409001946854e-01,6.599999999999999645e+00
-6.255929592894478031e-01,2.404551370236825414e-01,6.599999999999999645e+00
-5.897200763198181539e-01,3.549488782753946747e-01,6.599999999999999645e+00
-5.470462417282279111e-01,4.670855108252280341e-01,6.599999999999999645e+00
-4.977250352369956277e-01,5.764614638890344089e-01,6.599999999999999645e+00
